MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Snabba Cash,(2021– ),"
Action, Crime, Drama            ",7.6,"
The entrepreneurial jet set as well as the criminal world is more brutal, chaotic and ruthless than ever. When these two worlds collide, loyalty, friendships and business partners will all be tested in the never-ending quest for easy money.","
            
    Stars:
Evin Ahmad, 
Alexander Abdallah, 
Ayaan Ahmed, 
Ali Alarik
",6551,52,
3%,(2016–2020),"
Action, Drama, Sci-Fi            ",7.4,"
A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.","
            
    Stars:
Bianca Comparato, 
Vaneza Oliveira, 
Rodolfo Valente, 
Zezé Motta
",22943,49,
How It Ends,-2018,"
Action, Adventure, Drama            ",5,"
In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.","
    Director:
David M. Rosenthal
| 
    Stars:
Theo James, 
Kat Graham, 
Nancy Sorel, 
Nicole Ari Parker
",46842,113,
Deadly Illusions,-2021,"
Drama, Thriller            ",3.7,"
After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.","
    Director:
Anna Elizabeth James
| 
    Stars:
Dermot Mulroney, 
Kristin Davis, 
Shanola Hampton, 
Greer Grammer
",10519,114,
Man Down,(2013–2017),"
Comedy            ",7.6,"
A deadbeat drama teacher gets a wake-up call when his girlfriend leaves him.","
            
    Stars:
Greg Davies, 
Roisin Conaty, 
Mike Wozniak, 
Gwyneth Powell
",3520,30,
Kaze no tani no Naushika,-1984,"
Animation, Adventure, Fantasy            ",8.1,"
Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.","
    Director:
Hayao Miyazaki
| 
    Stars:
Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya
",157520,117,$0.50M
The Last Stand,-2013,"
Action, Thriller            ",6.3,"
The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.","
    Director:
Jee-woon Kim
| 
    Stars:
Arnold Schwarzenegger, 
Forest Whitaker, 
Johnny Knoxville, 
Rodrigo Santoro
",135448,107,$12.05M
De rouille et d'os,-2012,"
Drama, Romance            ",7.5,"
Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.","
    Director:
Jacques Audiard
| 
    Stars:
Marion Cotillard, 
Matthias Schoenaerts, 
Armand Verdure, 
Céline Sallette
",65455,120,$2.06M
Young Guns II,-1990,"
Action, Western            ",6.5,"
In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.","
    Director:
Geoff Murphy
| 
    Stars:
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater
",33616,104,$44.14M
My Little Pony: A New Generation,-2021,"
Animation, Adventure, Comedy            ",,"
After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.","
    Directors:
Robert Cullen, 
José Luis Ucha, 
Mark Fattibene
| 
    Stars:
Vanessa Hudgens, 
James Marsden, 
Jane Krakowski, 
Elizabeth Perkins
",,90,
The Unicorn,(2019–2021),"
Comedy, Drama, Family            ",7.2,"
A widower is eager to move on from the most difficult year of his life, only to realize he's utterly unprepared to raise his two daughters on his own and equally unprepared for the dating world where he's suddenly a hot commodity.","
            
    Stars:
Walton Goggins, 
Rob Corddry, 
Omar Benson Miller, 
Maya Lynne Robinson
",3689,22,
Pan,-2015,"
Adventure, Comedy, Family            ",5.7,"
Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.","
    Director:
Joe Wright
| 
    Stars:
Levi Miller, 
Hugh Jackman, 
Garrett Hedlund, 
Rooney Mara
",61772,111,$35.09M
Voces,-2020,"
Drama, Horror, Mystery            ",6.1,"
Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.","
    Director:
Ángel Gómez Hernández
| 
    Stars:
Rodolfo Sancho, 
Ana Fernández, 
Ramón Barea, 
Belén Fabra
",11470,97,
Vikings: Valhalla,,"
Action, Adventure, Drama            ",,"
Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror.","
            
    Stars:
Laura Berlin, 
Sam Corlett, 
Bradley Freegard, 
Frida Gustavsson
",,,
The Protector,(2018–2020),"
Action, Fantasy, Sci-Fi            ",6.7,"
Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","
            
    Stars:
Çagatay Ulusoy, 
Hazar Ergüçlü, 
Okan Yalabik, 
Burçin Terzioglu
",32936,40,
The Outsider,(I) (2018),"
Action, Crime, Drama            ",6.3,"
An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.","
    Director:
Martin Zandvliet
| 
    Stars:
Jared Leto, 
Tadanobu Asano, 
Kippei Shîna, 
Shioli Kutsuna
",22393,120,
The One,(2021– ),"
Crime, Drama, Sci-Fi            ",6.6,"
Love -- and lies -- spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.","
            
    Stars:
Hannah Ware, 
Dimitri Leonidas, 
Diarmaid Murtagh, 
Zoë Tapper
",10810,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",-1997,"
Animation, Action, Drama            ",8.1,"
Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).","
    Directors:
Hideaki Anno, 
Kazuya Tsurumaki
| 
    Stars:
Megumi Ogata, 
Megumi Hayashibara, 
Yûko Miyamura, 
Kotono Mitsuishi
",43888,87,
Paranoid,-2016,"
Crime, Drama, Mystery            ",6.7,"
The murder of a female GP in a rural playground in front of numerous witnesses draws a group of detectives into an ever-darkening mystery that takes them across Europe, aided by mysterious notes sent by the ""Ghost Detective"".","
            
    Stars:
Indira Varma, 
Robert Glenister, 
Dino Fetscher, 
Christiane Paul
",7413,45,
The Iceman,-2012,"
Biography, Crime, Drama            ",6.8,"
The story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters had any clue about his real profession.","
    Director:
Ariel Vromen
| 
    Stars:
Michael Shannon, 
Chris Evans, 
James Franco, 
Winona Ryder
",72326,106,$1.94M
Las chicas del cable,(2017–2020),"
Drama            ",7.6,"
Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.","
            
    Stars:
Blanca Suárez, 
Yon González, 
Ana Fernández, 
Nadia de Santiago
",12876,50,
Hannibal Rising,-2007,"
Action, Adventure, Crime            ",6.2,"
After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","
    Director:
Peter Webber
| 
    Stars:
Gaspard Ulliel, 
Rhys Ifans, 
Gong Li, 
Aaran Thomas
",106197,121,$27.67M
Living with Yourself,(2019– ),"
Comedy, Drama, Sci-Fi            ",7.2,"
An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.","
            
    Stars:
Paul Rudd, 
Aisling Bea, 
Desmin Borges, 
Karen Pittman
",27102,26,
The Laundromat,(I) (2019),"
Comedy, Crime, Drama            ",6.3,"
A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.","
    Director:
Steven Soderbergh
| 
    Stars:
Gary Oldman, 
Antonio Banderas, 
AJ Meijer, 
Arsenio Castellanos
",46757,96,
The Package,(II) (2018),"
Comedy, Thriller            ",5.5,"
When a group of teenage friends go on a spring break camping trip, an unfortunate accident sets off a race against time to save their friend's most prized possession.","
    Director:
Jake Szymanski
| 
    Stars:
Daniel Doheny, 
Geraldine Viswanathan, 
Sadie Calvano, 
Luke Spencer Roberts
",15474,94,
Cocomelon,(2019– ),"
Animation, Comedy, Family            ",4.5,"
In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.","
            
    Stars:
Hannah An, 
Alice Cho, 
Ava Madison Gray, 
Kristen Princiotta
",273,,
Kodachrome,-2017,"
Drama            ",6.8,"
Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.","
    Director:
Mark Raso
| 
    Stars:
Ed Harris, 
Jason Sudeikis, 
Elizabeth Olsen, 
Bruce Greenwood
",14021,105,
Reckoning,-2019,"
Thriller            ",6.6,"
Explores the darkest corners of the male psyche through the eyes of two fathers, one of whom is a serial-killer.","
            
    Stars:
Aden Young, 
Sam Trammell, 
Simone Kessell, 
Milly Alcock
",4209,460,
Mute,(II) (2018),"
Mystery, Sci-Fi, Thriller            ",5.5,"
A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.","
    Director:
Duncan Jones
| 
    Stars:
Alexander Skarsgård, 
Paul Rudd, 
Justin Theroux, 
Levi Eisenblätter
",32496,126,
Messiah,-2020,"
Drama, Mystery, Thriller            ",7.6,"
When a CIA officer investigates a man, and his followers, attracting international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity, or a deceptive con artist.","
            
    Stars:
Michelle Monaghan, 
Mehdi Dehbi, 
John Ortiz, 
Tomer Sisley
",39729,43,
Mowgli,-2018,"
Adventure, Drama, Fantasy            ",6.5,"
A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.","
    Director:
Andy Serkis
| 
    Stars:
Christian Bale, 
Cate Blanchett, 
Benedict Cumberbatch, 
Naomie Harris
",58420,104,
Bungou Stray Dogs,(2016– ),"
Animation, Action, Comedy            ",7.8,"
Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically ...                See full summary »
","
            
    Stars:
Mamoru Miyano, 
Yûto Uemura, 
Kaiji Tang, 
Yoshimasa Hosoya
",3754,24,
The Day the Earth Stood Still,-2008,"
Drama, Sci-Fi, Thriller            ",5.5,"
A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.","
    Director:
Scott Derrickson
| 
    Stars:
Keanu Reeves, 
Jennifer Connelly, 
Kathy Bates, 
Jaden Smith
",165900,104,$79.37M
Miseuteo Shunshain,-2018,"
Action, Drama, History            ",8.8,"
A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.","
            
    Stars:
Lee Byung-hun, 
Kim Tae-ri, 
Yoo Yeon-Seok, 
Yo-Han Byun
",5228,80,
Anon,(I) (2018),"
Crime, Sci-Fi, Thriller            ",6.1,"
In a world without anonymity or crime, a detective meets a woman who threatens their security.","
    Director:
Andrew Niccol
| 
    Stars:
Clive Owen, 
Afiya Bennett, 
Morgan Allen, 
Jeffrey Men
",40017,100,
Always Be My Maybe,-2019,"
Comedy, Romance            ",6.8,"
Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?","
    Director:
Nahnatchka Khan
| 
    Stars:
Ali Wong, 
Randall Park, 
James Saito, 
Michelle Buteau
",49867,101,
Ridley Jones,(2021– ),"
Animation, Adventure, Comedy            ",4.8,"
Curious kid Ridley and her friends protect the Museum of Natural History's treasures and keep its magical secret safe: Everything comes alive at night.","
            
    Stars:
David Errigo Jr., 
Sutton Foster, 
Ashlyn Madden, 
Ezra Menas
",108,27,
Suburra - La serie,(2017–2020),"
Action, Crime            ",7.9,"
In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.","
            
    Stars:
Alessandro Borghi, 
Giacomo Ferrara, 
Filippo Nigro, 
Carlotta Antonelli
",12933,50,
Fire Force,(2019– ),"
Animation, Action, Drama            ",7.7,"
A superhuman firefighter force is formed to deal with supernatural fire incidents.","
            
    Stars:
Gakuto Kajiwara, 
Kazuya Nakai, 
Christopher Wehkamp, 
Yûsuke Kobayashi
",4529,23,
The Adventures of Sharkboy and Lavagirl 3-D,-2005,"
Action, Adventure, Comedy            ",3.7,"
A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.","
    Director:
Robert Rodriguez
| 
    Stars:
Cayden Boyd, 
George Lopez, 
Kristin Davis, 
David Arquette
",34853,93,$39.18M
One of Us,-2016,"
Drama, Mystery, Thriller            ",7,"
A horrific murder rocks the lives of two families living side-by-side in isolated rural Scotland.","
            
    Stars:
Joanna Vanderham, 
John Lynch, 
Joe Dempsie, 
Julie Graham
",7338,231,
Taken 2,-2012,"
Action, Crime, Thriller            ",6.3,"
In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Famke Janssen, 
Maggie Grace, 
Leland Orser
",295140,92,$139.85M
Bonding,(2018–2021),"
Comedy, Drama            ",7.2,"
A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.","
            
    Stars:
Zoe Levin, 
Brendan Scannell, 
Micah Stock, 
Theo Stockman
",14488,107,
The Last Thing He Wanted,-2020,"
Crime, Drama, Thriller            ",4.3,"
A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.","
    Director:
Dee Rees
| 
    Stars:
Anne Hathaway, 
Ben Affleck, 
Rosie Perez, 
Willem Dafoe
",13680,115,
The Ugly Truth,-2009,"
Comedy, Romance            ",6.4,"
An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.","
    Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Gerard Butler, 
Bree Turner, 
Eric Winter
",209052,96,$88.92M
Aftermath,(IV) (2021),"
Drama, Horror, Mystery            ",6.5,"
A young couple struggling to stay together, when they are offered an amazing deal on a home with a questionable past that would normally be beyond their means. In a final attempt to start fresh as a couple they take the deal.","
    Director:
Peter Winther
| 
    Stars:
Ashley Greene, 
Shawn Ashmore, 
Sharif Atkins, 
Britt Baron
",20,114,
The Professor,-2018,"
Comedy, Drama            ",6.7,"
A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.","
    Director:
Wayne Roberts
| 
    Stars:
Johnny Depp, 
Rosemarie DeWitt, 
Odessa Young, 
Danny Huston
",27464,90,
Seven Seconds,-2018,"
Crime, Drama            ",7.7,"
Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.","
            
    Stars:
Clare-Hope Ashitey, 
Beau Knapp, 
Michael Mosley, 
David Lyons
",14101,60,
Kota Factory,-2019,"
Comedy, Drama            ",9.2,"
Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","
            
    Stars:
Mayur More, 
Jitendra Kumar, 
Ranjan Raj, 
Revathi Pillai
",52724,45,
Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,(2018– ),"
Animation, Drama, Fantasy            ",8.2,"
The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.","
            
    Stars:
Kaito Ishikawa, 
Asami Seto, 
Yurika Kubo, 
Atsumi Tanezaki
",6463,24,
The Daily Life of the Immortal King,(2020– ),"
Animation, Adventure            ",7.4,"
Wang Ling is a near-invincible existence with powers far beyond his control. But now that he's sixteen, he faces his greatest battle yet - Senior High School.","
            
    Stars:
Qian Chen, 
Gu Jiangshan, 
Lulu, 
Zhao Shuang
",559,18,
Dumplin',-2018,"
Comedy, Drama            ",6.6,"
Willowdean ('Dumplin'), the plus-size teenage daughter of a former beauty queen, signs up for her mom's Miss Teen Bluebonnet pageant as a protest that escalates when other contestants follow her footsteps, revolutionizing the pageant and their small Texas town.","
    Director:
Anne Fletcher
| 
    Stars:
Danielle Macdonald, 
Jennifer Aniston, 
Odeya Rush, 
Maddie Baillio
",30553,110,
Sweet Virginia,-2017,"
Action, Drama, Thriller            ",6.2,"
A former rodeo champ befriends a young man with a propensity for violence.","
    Director:
Jamie M. Dagg
| 
    Stars:
Jon Bernthal, 
Christopher Abbott, 
Imogen Poots, 
Rosemarie DeWitt
",9324,93,$0.01M
Making a Murderer,(2015–2018),"
Documentary, Crime            ",8.6,"
Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","
            
    Stars:
Steven Avery, 
Dolores Avery, 
Laura Nirider, 
Allan Avery
",89223,60,
To the Bone,(I) (2017),"
Drama            ",6.8,"
A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.","
    Director:
Marti Noxon
| 
    Stars:
Rebekah Kennedy, 
Lily Collins, 
Dana L. Wilson, 
Ziah Colon
",43863,107,
The Perfection,-2018,"
Drama, Horror, Music            ",6.2,"
When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","
    Director:
Richard Shepard
| 
    Stars:
Marie Maskell, 
Allison Williams, 
Christina Jastrzembska, 
Glynis Davies
",38531,90,
The Sleepover,-2020,"
Action, Adventure, Comedy            ",5.6,"
When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.","
    Director:
Trish Sie
| 
    Stars:
Sadie Stanley, 
Maxwell Simkins, 
Cree Cicchino, 
Lucas Jaye
",9040,100,
"tick, tick...Boom!",-2021,"
Biography, Drama, Musical            ",,"
On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship, and the pressures of life as an artist in New York City.","
    Director:
Lin-Manuel Miranda
| 
    Stars:
Vanessa Hudgens, 
Bradley Whitford, 
Andrew Garfield, 
Alexandra Shipp
",,115,
Devilman: Crybaby,-2018,"
Animation, Action, Fantasy            ",7.6,"
With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.","
            
    Stars:
Koki Uchiyama, 
Ayumu Murase, 
Griffin Burns, 
Kyle McCarley
",15076,25,
Deliver Us from Evil,(I) (2014),"
Action, Biography, Crime            ",6.2,"
New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.","
    Director:
Scott Derrickson
| 
    Stars:
Eric Bana, 
Edgar Ramírez, 
Olivia Munn, 
Chris Coy
",73461,118,$30.58M
Set It Up,-2018,"
Comedy, Romance            ",6.5,"
Two corporate executive assistants hatch a plan to match-make their two bosses.","
    Director:
Claire Scanlon
| 
    Stars:
Zoey Deutch, 
Glen Powell, 
Lucy Liu, 
Taye Diggs
",45957,105,
Baegabondeu,-2019,"
Action, Mystery, Thriller            ",8.3,"
An ordinary man who comes across surprising circumstances that place him in the center of a huge corruption scandal.","
            
    Stars:
Lee Seung-gi, 
Bae Suzy, 
Jung-hee Moon, 
Yun-shik Baek
",5333,60,
Concrete Cowboy,-2020,"
Drama            ",6.3,"
Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.","
    Director:
Ricky Staub
| 
    Stars:
Idris Elba, 
Caleb McLaughlin, 
Lorraine Toussaint, 
Jharrel Jerome
",7008,111,
Tae-yang-eui hoo-ye,-2016,"
Action, Comedy, Drama            ",8.3,"
This drama tells of the love story that develops between a surgeon and a special forces officer.","
            
    Stars:
Song Joong-ki, 
Song Hye-Kyo, 
Jin Goo, 
Kim Ji-Won
",11327,60,
Bimilui Soop,(2017– ),"
Crime, Drama, Mystery            ",8.6,"
With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.","
            
    Stars:
Cho Seung-woo, 
Bae Doona, 
Lee Joon-hyuk, 
Jeon Bae-soo
",6339,60,
The Human Centipede II (Full Sequence),-2011,"
Horror            ",3.8,"
Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.","
    Director:
Tom Six
| 
    Stars:
Laurence R. Harvey, 
Ashlynn Yennie, 
Maddi Black, 
Kandace Caine
",36912,91,$0.12M
Tate no Yuusha no Nariagari,(2019– ),"
Animation, Action, Adventure            ",8.1,"
Stories of old tell of four otherworldly heroes - wielding the sword, spear, bow, and shield - who defended the land from wave after wave of calamity. With the fate of the world in balance,...                See full summary »
","
            
    Stars:
Kaito Ishikawa, 
Asami Seto, 
Billy Kametz, 
Robbie Friedman
",8129,24,
